A Machine Learning Approach for Identification of Thesis and Conclusion Statements in Student Essays	2003	['Linguistics']	www.jstor.org/stable/10.2307/30204916
Machine Learning Applications in Anthropology: Automated Discovery over Kinship Structures	1996	['Linguistics']	www.jstor.org/stable/10.2307/30204664
PLATA: An Application of LEGAL, a Machine Learning Based System, to a Typology of Archaeological Ceramics	1997	['Linguistics']	www.jstor.org/stable/10.2307/30200422
Machine Learning Theory and Practice as a Source of Insight into Universal Grammar	2007	['Linguistics']	www.jstor.org/stable/10.2307/40057997
Book Review :              Elements of Machine Learning                             Pat                Langley	1998	['Linguistics']	www.jstor.org/stable/10.2307/40180112
Combining Machine Learning and Semantic Features in the Classification of Corporate Disclosures	2019	['Linguistics']	www.jstor.org/stable/10.2307/45216798
No free lunch in linguistics or machine learning	2019	['Language & Literature', 'Linguistics']	www.jstor.org/stable/10.2307/48771156
Applying data mining and machine learning techniques for sentiment shifter identification	2019	['Linguistics']	www.jstor.org/stable/10.2307/45217657
Evaluation of machine learning-based information extraction algorithms: criticisms and recommendations	2008	['Linguistics']	www.jstor.org/stable/10.2307/41217887
Filtering artificial texts with statistical machine learning techniques	2011	['Linguistics']	www.jstor.org/stable/10.2307/41486026
Robust semantic text similarity using LSA, machine learning, and linguistic resources	2016	['Linguistics']	www.jstor.org/stable/10.2307/24710042
